Epoch: 10/700, loss: 32.16755002628581, correct: 28, time_per_epoch: 0.017763267863880505
Epoch: 20/700, loss: 31.37875763281682, correct: 28, time_per_epoch: 0.019181569417317707
Epoch: 30/700, loss: 30.762761004244496, correct: 28, time_per_epoch: 0.019217221967635617
Epoch: 40/700, loss: 30.02728205138374, correct: 28, time_per_epoch: 0.019520288560448622
Epoch: 50/700, loss: 29.146867386865555, correct: 28, time_per_epoch: 0.01948839075425092
Epoch: 60/700, loss: 28.100857454362455, correct: 36, time_per_epoch: 0.019631506966762854
Epoch: 70/700, loss: 26.874782486634352, correct: 36, time_per_epoch: 0.019611717949450855
Epoch: 80/700, loss: 25.458791731828267, correct: 40, time_per_epoch: 0.019569741355048284
Epoch: 90/700, loss: 23.85997933583905, correct: 43, time_per_epoch: 0.019696932572584886
Epoch: 100/700, loss: 22.261670359034998, correct: 44, time_per_epoch: 0.019619929908525825
Epoch: 110/700, loss: 20.61951136695516, correct: 47, time_per_epoch: 0.01966800775613871
Epoch: 120/700, loss: 19.034466391507014, correct: 49, time_per_epoch: 0.019593626999658
Epoch: 130/700, loss: 17.54194880942952, correct: 49, time_per_epoch: 0.01962713794853851
Epoch: 140/700, loss: 16.209110067285078, correct: 49, time_per_epoch: 0.019603588902358467
Epoch: 150/700, loss: 14.98770728662206, correct: 49, time_per_epoch: 0.01965395977954991
Epoch: 160/700, loss: 13.901987789531768, correct: 49, time_per_epoch: 0.019620048333399046
Epoch: 170/700, loss: 12.920803623206483, correct: 49, time_per_epoch: 0.019649378737510992
Epoch: 180/700, loss: 12.034689595723941, correct: 49, time_per_epoch: 0.019620490996218518
Epoch: 190/700, loss: 11.24307577273972, correct: 49, time_per_epoch: 0.01958366963251723
Epoch: 200/700, loss: 10.537736136694226, correct: 49, time_per_epoch: 0.019614920687319626
Epoch: 210/700, loss: 9.90450076383503, correct: 49, time_per_epoch: 0.01958335971380297
Epoch: 220/700, loss: 9.330158413052036, correct: 49, time_per_epoch: 0.019610113687644717
Epoch: 230/700, loss: 8.819179700777546, correct: 49, time_per_epoch: 0.01958484360665986
Epoch: 240/700, loss: 8.363878797197156, correct: 49, time_per_epoch: 0.019610149731774548
Epoch: 250/700, loss: 7.950732099466269, correct: 49, time_per_epoch: 0.01959954979885147
Epoch: 260/700, loss: 7.5726054280878285, correct: 49, time_per_epoch: 0.019625398847791884
